prix,adresse,marque,dim_ecr,ram,stockage,etat
240246,Sicap Sacré-cœur,ZTE,8.0,23,151,D'occasion
260146,Keur ndiaye lô,OnePlus,6.0,24,219,D'occasion
615246,Zone industrielle,iPhone,7.0,31,217,D'occasion
370248,Plateau,iPhone,7.0,24,153,D'occasion
190745,Dieuppeul,iPhone,8.0,31,216,D'occasion
330247,Gueule-Tapée,iPhone,9.0,31,217,D'occasion
225244,Sicap foire,iPhone,5.0,22,103,D'occasion
375246,Yoff,Sony,8.0,30,345,D'occasion
499247,Point-e,iPhone,6.0,31,219,D'occasion
409248,Pikine,iPhone,6.0,32,346,D'occasion
355247,Virage,Huawei,7.0,27,216,D'occasion
585246,Sacré-cœur,iPhone,7.0,32,218,D'occasion
460248,Plateau,iPhone,7.0,29,219,D'occasion
445247,Virage,iPhone,7.0,27,219,D'occasion
440247,Sicap Sacré-cœur,iPhone,8.0,23,344,D'occasion
660245,Point-e,iPhone,6.0,30,219,D'occasion
1080247,Point-e,iPhone,11.0,30,603,D'occasion
500246,VDN,iPhone,7.0,23,218,D'occasion
640246,Gueule-Tapée,Viwa,3.0,26,344,D'occasion
330248,VDN,iPhone,5.0,25,217,D'occasion
570247,Sacré-cœur,ZTE,8.0,30,344,D'occasion
545246,Fann,iPhone,7.0,32,345,D'occasion
190798,Grand-Yoff,iPhone,6.0,35,347,D'occasion
770247,Mermoz,iPhone,9.0,29,218,D'occasion
440247,Plateau,iPhone,6.0,24,217,D'occasion
270247,Sacré-cœur,iPhone,6.0,25,219,D'occasion
480248,Yoff,Xiaomi,6.0,28,346,D'occasion
440247,Pikine,iPad,7.0,29,345,D'occasion
565247,Zone industrielle,LG,10.0,146,219,D'occasion
480247,Pikine,iPhone,8.0,26,216,D'occasion
540246,Liberte 6 extension,iPhone,6.0,31,217,D'occasion
840247,Sicap Liberté,iPhone,7.0,31,218,D'occasion
290247,Plateau,iPhone,6.0,26,154,D'occasion
285245,Pikine,iPad,2.0,32,220,D'occasion
235248,Ngaparou,iPhone,5.0,32,122,D'occasion
290247,Plateau,iPad,8.0,32,217,D'occasion
240245,Sicap foire,Xiaomi,8.0,24,152,D'occasion
260147,Liberte 5,Nodis,8.0,26,217,D'occasion
615248,Zone industrielle,iPhone,7.0,30,218,D'occasion
370247,Point-e,iPhone,7.0,25,153,D'occasion
190747,Grand-Yoff,iPhone,10.0,31,218,D'occasion
330246,Guediawaye,iPhone,10.0,31,219,D'occasion
225246,Sicap foire,iPhone,5.0,21,105,D'occasion
375247,Plateau,Viwa,8.0,28,348,D'occasion
499246,Point-e,iPhone,7.0,31,218,D'occasion
409247,Plateau,iPhone,7.0,31,347,D'occasion
355247,Zone industrielle,Honor,6.0,27,216,D'occasion
585248,Plateau,iPhone,8.0,31,218,D'occasion
460247,Pikine,iPhone,8.0,26,216,D'occasion
445246,Plateau,iPhone,7.0,26,219,D'occasion
440246,VDN,iPhone,7.0,23,346,D'occasion
660248,Point-e,iPhone,8.0,31,215,D'occasion
1080247,Plateau,iPhone,10.0,31,602,D'occasion
500248,VDN,iPhone,8.0,25,218,D'occasion
640245,Guediawaye,iPad,4.0,27,345,D'occasion
330246,VDN,iPhone,7.0,24,218,D'occasion
570248,Plateau,ZTE,8.0,32,346,D'occasion
545246,Fenêtre mermoz,iPhone,7.0,32,346,D'occasion
190798,Fass,iPhone,7.0,35,346,D'occasion
770246,Mermoz,iPhone,8.0,28,217,D'occasion
440247,Pikine,iPhone,7.0,22,218,D'occasion
270246,Plateau,iPhone,6.0,26,217,D'occasion
480247,Yoff,iPad,9.0,26,344,D'occasion
440246,Pikine,Xiaomi,8.0,26,347,D'occasion
565246,Zone industrielle,Itel,7.0,147,218,D'occasion
480247,Plateau,iPhone,8.0,27,218,D'occasion
540248,Liberte 6,iPhone,8.0,31,218,D'occasion
840246,Sicap Liberté,iPhone,9.0,30,217,D'occasion
290245,Sacré-cœur,iPhone,8.0,25,151,D'occasion
285246,Point-e,Xiaomi,0.0,32,217,D'occasion
235246,Ngor,iPhone,10.0,34,121,D'occasion
290246,Plateau,ZTE,8.0,31,218,D'occasion
240246,Sicap Sacré-cœur,ZTE,9.0,23,153,D'occasion
260149,Hlm grand-yoff,LG,7.0,25,217,D'occasion
615247,Plateau,iPhone,7.0,33,219,D'occasion
370247,Point-e,iPhone,9.0,26,155,D'occasion
190746,Fann,iPhone,9.0,33,217,D'occasion
330246,Guediawaye,iPhone,9.0,30,217,D'occasion
225245,Sicap foire,iPhone,6.0,25,105,D'occasion
375247,Zone industrielle,Xiaomi,7.0,27,347,D'occasion
499247,Saly,iPhone,8.0,31,219,D'occasion
409247,Point-e,iPhone,6.0,30,347,D'occasion
355248,Yoff,Honor,6.0,28,215,D'occasion
585248,Pikine,iPhone,9.0,31,219,D'occasion
460247,Pikine,iPhone,7.0,26,218,D'occasion
445245,Zone industrielle,iPhone,7.0,25,220,D'occasion
440245,Yoff,iPhone,7.0,25,345,D'occasion
660246,Plateau,iPhone,6.0,31,219,D'occasion
1080246,Plateau,iPhone,10.0,30,601,D'occasion
500245,VDN,iPhone,7.0,23,217,D'occasion
640246,Gueule-Tapée,Xiaomi,4.0,27,345,D'occasion
330247,VDN,iPhone,7.0,25,219,D'occasion
570248,Saly,ZTE,8.0,31,346,D'occasion
545245,Fann,iPhone,8.0,31,345,D'occasion
190799,Dieuppeul,iPhone,9.0,34,345,D'occasion
770247,Médina,iPhone,6.0,27,215,D'occasion
440246,Plateau,iPhone,7.0,22,218,D'occasion
270246,Sacré-cœur,iPhone,5.0,23,217,D'occasion
480246,Yoff,Xiaomi,5.0,26,347,D'occasion
440246,Pikine,ZTE,6.0,26,345,D'occasion
565245,Plateau,Nokia,9.0,146,218,D'occasion
480246,Point-e,iPhone,8.0,28,217,D'occasion
540248,Liberte 6 extension,iPhone,6.0,31,217,D'occasion
840246,Sicap Liberté,iPhone,6.0,29,216,D'occasion
290247,Plateau,iPhone,7.0,25,152,D'occasion
285247,Point-e,Xiaomi,1.0,32,219,D'occasion
235246,Ngaparou,iPhone,10.0,32,123,D'occasion
290246,Plateau,iPad,8.0,32,218,D'occasion
240246,Point-e,ZTE,7.0,24,155,D'occasion
260146,Liberte 6,Nodis,7.0,27,218,D'occasion
615248,Zone industrielle,iPhone,8.0,32,217,D'occasion
370249,Sacré-cœur,iPhone,6.0,26,154,D'occasion
190747,Fann,iPhone,8.0,30,216,D'occasion
330247,Fenêtre mermoz,iPhone,7.0,31,218,D'occasion
225245,Sicap foire,iPhone,6.0,20,106,D'occasion
375247,Plateau,Xiaomi,9.0,27,347,D'occasion
499247,Point-e,iPhone,9.0,30,217,D'occasion
409248,Plateau,iPhone,9.0,32,345,D'occasion
355247,Zone industrielle,Ice-Phone,6.0,29,218,D'occasion
585246,Pikine,iPhone,9.0,32,218,D'occasion
460247,Sacré-cœur,iPhone,10.0,24,218,D'occasion
445248,Virage,iPhone,6.0,25,218,D'occasion
440246,Virage,iPhone,7.0,23,347,D'occasion
660246,Plateau,iPhone,7.0,31,219,D'occasion
1080246,Point-e,iPhone,11.0,32,601,D'occasion
500245,Sicap Sacré-cœur,iPhone,8.0,23,217,D'occasion
640246,Guediawaye,iPad,4.0,26,346,D'occasion
330248,VDN,iPhone,8.0,25,219,D'occasion
570248,Saly,Xiaomi,7.0,31,346,D'occasion
545245,Fann,iPhone,9.0,32,346,D'occasion
190798,Fass,iPhone,8.0,34,346,D'occasion
770246,Liberte 6 extension,iPhone,7.0,25,219,D'occasion
440246,Plateau,iPhone,6.0,25,215,D'occasion
270246,Point-e,iPhone,7.0,23,217,D'occasion
480246,Yoff,ZTE,7.0,27,345,D'occasion
440248,Plateau,Xiaomi,7.0,26,345,D'occasion
565246,Zone industrielle,Nodis,7.0,147,216,D'occasion
480246,Pikine,iPhone,8.0,26,219,D'occasion
540246,Liberte 6,iPhone,7.0,31,218,D'occasion
840246,Sicap Liberté,iPhone,8.0,31,218,D'occasion
290245,Point-e,iPhone,6.0,27,154,D'occasion
285248,Patte d‘oie,iPhone,1.0,32,218,D'occasion
235247,Ngaparou,iPhone,8.0,32,120,D'occasion
290246,Plateau,iPad,6.0,32,219,D'occasion
240245,Sicap foire,iPhone,9.0,23,154,D'occasion
260146,Liberte 6 extension,Nodis,8.0,23,218,D'occasion
615247,Yoff,iPhone,7.0,32,220,D'occasion
370247,Point-e,iPhone,8.0,26,156,D'occasion
190747,Fass,iPhone,8.0,32,218,D'occasion
330247,Fenêtre mermoz,iPhone,9.0,31,218,D'occasion
225246,VDN,iPhone,6.0,21,105,D'occasion
375246,Yoff,Tecno,7.0,28,347,D'occasion
499245,Plateau,iPhone,6.0,29,217,D'occasion
409247,Sacré-cœur,iPhone,6.0,31,346,D'occasion
355248,Plateau,Google,8.0,26,217,D'occasion
585246,Sacré-cœur,iPhone,7.0,33,217,D'occasion
460249,Plateau,iPhone,7.0,27,218,D'occasion
445248,Virage,iPhone,7.0,24,218,D'occasion
440246,Virage,iPhone,7.0,23,346,D'occasion
660247,Plateau,iPhone,7.0,32,218,D'occasion
1080247,Plateau,iPhone,10.0,31,602,D'occasion
500246,Sicap foire,iPhone,7.0,22,219,D'occasion
640248,Hann maristes,iPad,3.0,29,347,D'occasion
330246,Virage,iPhone,7.0,25,218,D'occasion
570247,Sacré-cœur,ZTE,9.0,31,345,D'occasion
545247,Fenêtre mermoz,iPhone,5.0,32,346,D'occasion
190796,Fass,iPhone,6.0,34,346,D'occasion
770245,Ngaparou,iPhone,6.0,26,217,D'occasion
440246,Plateau,iPhone,8.0,23,219,D'occasion
270247,Point-e,iPhone,4.0,25,219,D'occasion
480246,Zone industrielle,ZTE,8.0,27,345,D'occasion
440246,Pikine,Xiaomi,7.0,29,342,D'occasion
565247,Virage,Motorola,8.0,146,220,D'occasion
480246,Sacré-cœur,iPhone,8.0,25,216,D'occasion
540244,Liberte 6,iPhone,6.0,32,219,D'occasion
840247,Point-e,iPhone,8.0,34,218,D'occasion
290247,Plateau,iPhone,6.0,25,153,D'occasion
285246,Plateau,iPad,1.0,31,218,D'occasion
235246,Ngor,iPhone,7.0,31,121,D'occasion
290248,Plateau,iPad,7.0,31,219,D'occasion
240247,Sicap Liberté,ZTE,9.0,24,152,D'occasion
260148,Liberte 5,Motorola,9.0,26,218,D'occasion
615246,Yoff,iPhone,7.0,30,216,D'occasion
370248,Plateau,iPhone,6.0,26,154,D'occasion
190747,Fass,iPhone,8.0,30,216,D'occasion
330248,Guediawaye,iPhone,7.0,31,217,D'occasion
225245,Sicap Sacré-cœur,iPhone,4.0,21,106,D'occasion
375248,Zone industrielle,Tecno,8.0,26,343,D'occasion
499246,Point-e,iPhone,8.0,31,217,D'occasion
409247,Point-e,iPhone,8.0,30,346,D'occasion
355247,Virage,Honor,9.0,27,218,D'occasion
585246,Point-e,iPhone,8.0,32,216,D'occasion
460246,Point-e,iPhone,7.0,27,219,D'occasion
445245,Zone industrielle,iPhone,6.0,26,218,D'occasion
440246,VDN,iPhone,8.0,23,345,D'occasion
660247,Pikine,iPhone,7.0,32,217,D'occasion
1080248,Pikine,iPhone,10.0,32,601,D'occasion
500246,Sicap Liberté,iPhone,7.0,25,218,D'occasion
640247,Grand-Yoff,ZTE,4.0,27,346,D'occasion
330247,Virage,iPhone,7.0,26,218,D'occasion
570247,Sacré-cœur,ZTE,7.0,32,346,D'occasion
545247,Fenêtre mermoz,iPhone,8.0,32,345,D'occasion
190797,Fenêtre mermoz,iPhone,8.0,34,345,D'occasion
770247,Mermoz,iPhone,6.0,27,217,D'occasion
440247,Plateau,iPhone,7.0,23,218,D'occasion
270247,Sacré-cœur,iPhone,7.0,25,217,D'occasion
480246,Plateau,ZTE,5.0,26,346,D'occasion
440248,Plateau,iPad,8.0,27,346,D'occasion
565248,Yoff,Motorola,7.0,147,218,D'occasion
480249,Point-e,iPhone,8.0,26,219,D'occasion
540247,Mermoz,iPhone,7.0,31,218,D'occasion
840249,Sacré-cœur,iPhone,8.0,31,219,D'occasion
290246,Pikine,iPhone,7.0,26,155,D'occasion
285245,Plateau,ZTE,0.0,30,217,D'occasion
235245,Ngaparou,iPhone,8.0,32,121,D'occasion
290248,Plateau,ZTE,7.0,31,219,D'occasion
240246,Sicap Sacré-cœur,iPad,8.0,23,154,D'occasion
260145,Liberte 6 extension,Nokia,8.0,25,214,D'occasion
615247,Yoff,iPhone,9.0,32,218,D'occasion
370247,Sacré-cœur,iPhone,7.0,25,155,D'occasion
190746,Fass,iPhone,8.0,32,218,D'occasion
330249,Grand-Yoff,iPhone,7.0,31,218,D'occasion
225247,Sicap foire,iPhone,6.0,20,104,D'occasion
375246,Virage,ZTE,7.0,27,345,D'occasion
499246,Plateau,iPhone,6.0,31,218,D'occasion
409246,Point-e,iPhone,7.0,33,345,D'occasion
355246,Virage,Ice-Phone,7.0,26,219,D'occasion
585247,Plateau,iPhone,9.0,33,217,D'occasion
460248,Point-e,iPhone,8.0,27,218,D'occasion
445246,Zone industrielle,iPhone,6.0,26,216,D'occasion
440247,Sicap foire,iPhone,5.0,22,347,D'occasion
660246,Sacré-cœur,iPhone,9.0,32,216,D'occasion
1080247,Point-e,iPhone,9.0,31,602,D'occasion
500247,Sicap foire,iPhone,10.0,24,216,D'occasion
640244,Gueule-Tapée,ZTE,3.0,27,345,D'occasion
330248,VDN,iPhone,8.0,26,218,D'occasion
570245,Sacré-cœur,Xiaomi,8.0,33,346,D'occasion
545249,Fenêtre mermoz,iPhone,7.0,32,346,D'occasion
190796,Fann,iPhone,7.0,35,343,D'occasion
770246,Liberte 6 extension,iPhone,6.0,29,218,D'occasion
440245,Pikine,iPhone,7.0,23,218,D'occasion
270246,Point-e,iPhone,7.0,23,219,D'occasion
480249,Zone industrielle,Tecno,10.0,27,347,D'occasion
440248,Plateau,Viwa,8.0,28,347,D'occasion
565245,Virage,LG,7.0,148,219,D'occasion
480248,Plateau,iPhone,7.0,26,220,D'occasion
540245,Mermoz,iPhone,8.0,33,218,D'occasion
840245,Saly,iPhone,8.0,32,219,D'occasion
290247,Point-e,iPhone,8.0,26,155,D'occasion
285248,Pikine,iPad,0.0,32,221,D'occasion
235245,Ngor,iPhone,6.0,32,122,D'occasion
290248,Plateau,iPad,7.0,32,218,D'occasion
240246,Sicap Sacré-cœur,Xiaomi,8.0,23,154,D'occasion
260146,Keur ndiaye lô,Nokia,9.0,24,218,D'occasion
615247,Plateau,iPhone,7.0,32,218,D'occasion
370247,Pikine,iPhone,5.0,25,154,D'occasion
190749,Fann,iPhone,7.0,32,218,D'occasion
330247,Hann maristes,iPhone,8.0,33,218,D'occasion
225246,Sicap foire,iPhone,5.0,22,107,D'occasion
375246,Zone industrielle,Sony,7.0,29,347,D'occasion
499244,Plateau,iPhone,8.0,33,218,D'occasion
409247,Point-e,iPhone,10.0,32,347,D'occasion
355246,Zone industrielle,Google,6.0,27,219,D'occasion
585247,Plateau,iPhone,8.0,30,219,D'occasion
460248,Point-e,iPhone,8.0,26,219,D'occasion
445246,Yoff,iPhone,6.0,25,218,D'occasion
440247,VDN,iPhone,9.0,24,347,D'occasion
660246,Point-e,iPhone,9.0,31,218,D'occasion
1080245,Plateau,iPhone,11.0,33,602,D'occasion
500246,Sicap Sacré-cœur,iPhone,6.0,23,217,D'occasion
640246,Hann maristes,Xiaomi,6.0,27,347,D'occasion
330247,Sicap foire,iPhone,9.0,24,216,D'occasion
570246,Sacré-cœur,iPad,6.0,33,347,D'occasion
545245,Fann,iPhone,9.0,31,345,D'occasion
190796,Fass,iPhone,8.0,33,346,D'occasion
770247,Liberte 6 extension,iPhone,7.0,26,219,D'occasion
440247,Point-e,iPhone,7.0,22,218,D'occasion
270246,Point-e,iPhone,5.0,23,218,D'occasion
480246,Yoff,Xiaomi,8.0,27,346,D'occasion
440246,Plateau,ZTE,6.0,29,346,D'occasion
565245,Plateau,Nodis,8.0,147,219,D'occasion
480247,Sacré-cœur,iPhone,10.0,26,217,D'occasion
540243,Liberte 5,iPhone,8.0,30,218,D'occasion
840247,Point-e,iPhone,7.0,31,217,D'occasion
290246,Point-e,iPhone,6.0,26,153,D'occasion
285247,Pikine,Xiaomi,0.0,35,217,D'occasion
235248,Ngaparou,iPhone,8.0,31,122,D'occasion
290246,Plateau,Xiaomi,5.0,34,216,D'occasion
240248,Sicap foire,Xiaomi,7.0,25,153,D'occasion
260147,Liberte 6,Nodis,8.0,25,218,D'occasion
615247,Virage,iPhone,5.0,31,218,D'occasion
370245,Pikine,iPhone,8.0,27,151,D'occasion
190748,Fass,iPhone,6.0,32,219,D'occasion
330247,Gueule-Tapée,iPhone,6.0,32,219,D'occasion
225246,Saly,iPhone,6.0,22,106,D'occasion
375245,Zone industrielle,Tecno,6.0,26,345,D'occasion
499246,Point-e,iPhone,7.0,32,219,D'occasion
409246,Point-e,iPhone,6.0,30,345,D'occasion
355247,Plateau,Honor,8.0,25,217,D'occasion
585246,Plateau,iPhone,8.0,31,219,D'occasion
460246,Plateau,iPhone,9.0,28,217,D'occasion
445247,Zone industrielle,iPhone,6.0,24,217,D'occasion
440247,Sicap foire,iPhone,6.0,25,346,D'occasion
660247,Point-e,iPhone,6.0,32,219,D'occasion
1080245,Point-e,iPhone,10.0,32,602,D'occasion
500248,Sicap foire,iPhone,7.0,24,218,D'occasion
640245,Gueule-Tapée,Xiaomi,3.0,27,347,D'occasion
330245,VDN,iPhone,7.0,26,218,D'occasion
570247,Plateau,ZTE,7.0,30,345,D'occasion
545247,Fass,iPhone,7.0,32,345,D'occasion
190797,Fenêtre mermoz,iPhone,8.0,36,347,D'occasion
770246,Mermoz,iPhone,9.0,28,218,D'occasion
440246,Pikine,iPhone,6.0,23,217,D'occasion
270247,Point-e,iPhone,5.0,27,216,D'occasion
480247,Yoff,iPad,8.0,27,346,D'occasion
440246,Pikine,ZTE,5.0,27,347,D'occasion
565246,Zone industrielle,Motorola,7.0,147,218,D'occasion
480246,Sacré-cœur,iPhone,8.0,27,217,D'occasion
540246,Liberte 6 extension,iPhone,7.0,32,216,D'occasion
840247,Pikine,iPhone,8.0,32,218,D'occasion
290246,Saly,iPhone,7.0,26,155,D'occasion
285247,Plateau,Xiaomi,2.0,31,217,D'occasion
235248,Ngaparou,iPhone,6.0,32,122,D'occasion
290246,Plateau,iPad,9.0,31,218,D'occasion
240248,Sicap Liberté,Xiaomi,7.0,22,153,D'occasion
260147,Mermoz,Nokia,9.0,26,217,D'occasion
615245,Yoff,iPhone,8.0,32,220,D'occasion
370248,Sacré-cœur,iPhone,4.0,25,154,D'occasion
190746,Fann,iPhone,7.0,30,217,D'occasion
330246,Fenêtre mermoz,iPhone,7.0,31,222,D'occasion
225245,Sicap Sacré-cœur,iPhone,7.0,22,107,D'occasion
375247,Plateau,Tecno,6.0,27,346,D'occasion
499248,Point-e,iPhone,7.0,32,218,D'occasion
409247,Point-e,iPhone,4.0,32,345,D'occasion
355246,Zone industrielle,Huawei,6.0,29,217,D'occasion
585247,Plateau,iPhone,8.0,32,218,D'occasion
460246,Sacré-cœur,iPhone,7.0,25,217,D'occasion
445248,Zone industrielle,iPhone,6.0,26,217,D'occasion
440246,VDN,iPhone,7.0,23,347,D'occasion
660246,Plateau,iPhone,8.0,33,219,D'occasion
1080246,Plateau,iPhone,10.0,32,603,D'occasion
500246,Sicap foire,iPhone,8.0,22,218,D'occasion
640245,Gueule-Tapée,Xiaomi,3.0,27,346,D'occasion
330247,VDN,iPhone,6.0,25,217,D'occasion
570246,Saly,ZTE,8.0,31,347,D'occasion
545246,Fann,iPhone,7.0,31,346,D'occasion
190797,Fenêtre mermoz,iPhone,6.0,36,347,D'occasion
770245,Liberte 6 extension,iPhone,7.0,26,218,D'occasion
440245,Plateau,iPhone,9.0,25,216,D'occasion
270245,Point-e,iPhone,6.0,25,217,D'occasion
480246,Zone industrielle,Xiaomi,6.0,28,346,D'occasion
440247,Plateau,ZTE,6.0,27,347,D'occasion
565246,Zone industrielle,Itel,5.0,147,219,D'occasion
480246,Saly,iPhone,7.0,25,217,D'occasion
540248,Liberte 6,iPhone,7.0,31,216,D'occasion
840247,Sacré-cœur,iPhone,7.0,31,218,D'occasion
290245,Point-e,iPhone,7.0,26,154,D'occasion
285246,Pikine,iPad,1.0,32,218,D'occasion
235245,Ngaparou,iPhone,9.0,30,123,D'occasion
290248,Plateau,iPad,8.0,32,218,D'occasion
240246,Saly,iPhone,7.0,23,154,D'occasion
260147,Liberte 6 extension,Motorola,7.0,26,217,D'occasion
615246,Yoff,iPhone,9.0,32,217,D'occasion
370247,Point-e,iPhone,7.0,26,153,D'occasion
190746,Fass,iPhone,7.0,32,218,D'occasion
330247,Fenêtre mermoz,iPhone,8.0,31,218,D'occasion
225246,Sicap foire,iPhone,6.0,19,107,D'occasion
375248,Yoff,Xiaomi,4.0,27,345,D'occasion
499246,Sacré-cœur,iPhone,10.0,32,218,D'occasion
409248,Plateau,iPhone,9.0,33,346,D'occasion
355248,Yoff,Honor,6.0,26,217,D'occasion
