Marque,Année,Boite_Vitesse,Adresse,Prix,Venant_Occasion
Mazda,2015,Automatique,"VDN,Dakar",9500000,Venant
Audi,2013,Automatique,"Ngor,Dakar",9500000,Venant
Jeep,2015,Automatique,"Grand-Yoff,Dakar",8899000,Venant
Hyundai,2020,Automatique,"VDN,Dakar",23000000,Venant
Chevrolet,2011,Automatique,"Cité keur gorgui,Dakar",4200000,D'occasion
Peugeot,2021,Automatique,"Almadies,Dakar",18000000,D'occasion
Mazda,2016,Automatique,"Nord foire,Dakar",9800000,D'occasion
Hyundai,2011,Automatique,"Hann Bel-Air,Dakar",3900000,D'occasion
Mazda,2016,Automatique,"Mermoz,Dakar",9800000,Venant
Toyota,2013,Manuelle,"Pikine,Dakar",3200000,D'occasion
Ford,2013,Automatique,"Mermoz,Dakar",4800000,D'occasion
BMW,2016,Automatique,"Parcelles Assainies,Dakar",19500000,Venant
Hyundai,2014,Automatique,"Mbao,Dakar",6400000,Venant
Ssangyong,2014,Automatique,"Sicap foire,Dakar",8900000,Venant
Ford,2015,Automatique,"Castor,Dakar",8500000,Venant
BMW,2012,Automatique,"Parcelles Assainies,Dakar",8500000,D'occasion
Ford,2012,Automatique,"Rufisque,Dakar",3100000,D'occasion
Renault,2006,Manuelle,"Liberte 6,Dakar",2600000,D'occasion
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Volkswagen,2013,Automatique,"Almadies,Dakar",4800000,D'occasion
Ford,2013,Automatique,"Sacré-cœur,Dakar",7500000,D'occasion
Chevrolet,2015,Automatique,"Sicap foire,Dakar",7000000,Venant
Mitsubishi,2015,Automatique,"Sacré-cœur,Dakar",8900000,Venant
Ford,2012,Automatique,"Liberte 6,Dakar",4400000,D'occasion
Chevrolet,2014,Automatique,"Yoff,Dakar",4500000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2014,Automatique,"Cambérène,Dakar",8700000,Venant
Saturn,2008,Automatique,"Point-e,Dakar",4000000,D'occasion
Jeep,2015,Automatique,"Colobane,Dakar",8800000,Venant
Audi,2012,Tiptronic,"Sacré-cœur,Dakar",6200000,D'occasion
Hyundai,2017,Automatique,"Sacré-cœur,Dakar",14500000,Venant
Chevrolet,2014,Automatique,"Ouest foire,Dakar",4500000,Venant
Mazda,2014,Manuelle,"Grand-Yoff,Dakar",6500000,D'occasion
Ford,2016,Automatique,"Sacré-cœur,Dakar",11700000,Venant
Ford,2019,Manuelle,"Almadies,Dakar",6500000,Venant
Ssangyong,2016,Automatique,"Médina,Dakar",8900000,Venant
Toyota,2019,Automatique,"Yoff,Dakar",26500000,Venant
Chevrolet,2010,Automatique,"Liberte 5,Dakar",3800000,D'occasion
Mazda,2016,Automatique,"Ouest foire,Dakar",11700000,Venant
BMW,2019,Automatique,"Cité Damel,Dakar",48000000,Venant
Nissan,2009,Automatique,"Keur Massar,Dakar",3000000,D'occasion
Chevrolet,2011,Automatique,"VDN,Dakar",4200000,D'occasion
Ford,2013,Automatique,"VDN,Dakar",3500000,D'occasion
Dodge,2010,Manuelle,"Bargny,Dakar",2700000,D'occasion
Nissan,2016,Automatique,"Sacré-cœur,Dakar",7800000,Venant
Jeep,2015,Automatique,"VDN,Dakar",11000000,Venant
Mazda,2014,Automatique,"Point-e,Dakar",8500000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2012,Automatique,"Colobane,Dakar",5300000,D'occasion
Mercedes-Benz,2010,Manuelle,"Médina,Dakar",4000000,D'occasion
Ford,2013,Automatique,"Pikine,Dakar",7000000,D'occasion
Kia,2012,Automatique,"Keur Massar, Dakar",3600000,D'occasion
Renault,2016,Automatique,"Patte d‘oie,Dakar",7500000,Venant
Kia,2016,Automatique,"Liberte 6,Dakar",8800000,Venant
Toyota,2020,Manuelle,"Mbao,Dakar",11000000,Venant
BMW,2021,Automatique,"Sacré-cœur, Dakar",60000000,D'occasion
Jeep,2015,Automatique,"Plateau,Dakar",9700000,Venant
Toyota,2021,Tiptronic,"Comico,Dakar",5000000,D'occasion
Hyundai,2012,Automatique,"Cité Damel,Dakar",6300000,D'occasion
BMW,2016,Automatique,"Grand-Dakar,Dakar",28000000,D'occasion
Ford,2012,Automatique," Médina,Dakar",10500000,D'occasion
Hyundai,2012,Automatique,"Médina,Dakar",5200000,D'occasion
Citroen,2006,Manuelle,"Grand-Yoff,Dakar",2000000,D'occasion
Hyundai,2014,Automatique,"Cité Damel,Dakar",8300000,D'occasion
Peugeot,2014,Manuelle,"VDN,Dakar",6900000,Venant
Renault,2020,Automatique,"Almadies 2,Dakar",13000000,Venant
Honda,2013,Automatique,"Gueule-Tapée,Dakar",75000,D'occasion
BMW,2017,Automatique,"Almadies,Dakar",13500000,Venant
Nissan,2016,Automatique,"Golf,Dakar",6500000,D'occasion
Ford,2016,Automatique,"Sacré-cœur,Dakar",14500000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Kia,2017,Automatique,"VDN,Dakar",14000000,Venant
Audi,2014,Automatique,"Castor,Dakar",12500000,D'occasion
Ford,2013,Automatique,"Sicap foire,Dakar",5800000,Venant
Toyota,2014,Manuelle,"Almadies,Dakar",22000000,D'occasion
Mercedes-Benz,2016,Automatique,"Biscuiterie,Dakar",10000000,D'occasion
Ford,2014,Automatique,"Almadies,Dakar",8000000,D'occasion
Mercedes-Benz,2016,Automatique,"Sicap Liberté,Dakar",12000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Nissan,2019,Automatique,"Cité keur gorgui,Dakar",16000000,Venant
Ford,2013,Automatique,"Mermoz,Dakar",3300000,D'occasion
Ford,2014,Automatique,"Avenue Bourguiba, Dakar",5500000,Venant
Mitsubishi,2014,Automatique,"Ouest foire,Dakar",6800000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Mazda,2011,Manuelle,"Point-e,Dakar",2000000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Ford,2015,Automatique,"Sud foire,Dakar",13000000,Venant
Citroen,2014,Automatique,"Ouest foire,Dakar",7000000,D'occasion
Ford,2011,Automatique,"Plateau,Dakar",2300000,D'occasion
Land Rover,2018,Automatique,"Amitié,Dakar",39000000,D'occasion
Toyota,2015,Automatique,"Cité keur gorgui,Dakar",12500000,Venant
Toyota,2009,Manuelle,"Fenêtre mermoz,Dakar",5700000,D'occasion
Mercedes-Benz,2015,Automatique,"Sacré-cœur,Dakar",15000000,Venant
Hyundai,2017,Automatique,"Liberte 6,Dakar",13800000,Venant
Mazda,2015,Automatique,"Liberte 6,Dakar",8900000,Venant
Mercedes-Benz,2016,Automatique,"VDN,Dakar",19900000,Venant
Kia,2015,Automatique," Keur Massar,Dakar",8700000,Venant
Mazda,2019,Automatique,"VDN,Dakar",15000000,Venant
Citroen,2015,Automatique,"Mbao,Dakar",6500000,Venant
Ford,2012,Automatique,"Yoff,Dakar",35000,D'occasion
Hyundai,2017,Automatique,"Cité Damel,Dakar",7500000,Venant
Opel,2017,Manuelle,"Almadies,Dakar",4600000,D'occasion
Hyundai,2019,Automatique,"Ouest foire,Dakar",19000000,D'occasion
Skoda,2012,Manuelle,"Plateau,Dakar",1900000,D'occasion
Kia,2015,Automatique,"Liberte 6 extension,Dakar",7800000,Venant
Kia,2004,Manuelle,"Gibraltar,Dakar",3200000,D'occasion
Toyota,2009,Manuelle,"VDN,Dakar",3600000,D'occasion
Toyota,2010,Manuelle,"Mbao,Dakar",10000000,D'occasion
Jeep,2015,Automatique,"Mamelles,Dakar",8300000,D'occasion
Hyundai,2014,Automatique,"Keur Massar,Dakar",1,Venant
Kia,2016,Automatique,"Liberte 6,Dakar",12500000,Venant
Citroen,2013,Manuelle,"Diamaguene,Dakar",3800000,Venant
Jeep,2016,Automatique,"Almadies,Dakar",10200000,Venant
Mitsubishi,2016,Automatique,"Almadies,Dakar",11000000,D'occasion
Hyundai,2021,Automatique,"Ouest foire,Dakar",18000000,Venant
Ford,2013,Automatique,"Malika,Dakar",3500000,D'occasion
Nissan,2017,Automatique,"Colobane,Dakar",13000000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
Kia,2013,Automatique,"Keur Massar,Dakar",5700000,D'occasion
Hyundai,2013,Automatique,"Sicap foire,Dakar",4300000,D'occasion
BMW,2017,Automatique,"Sacré-cœur,Dakar",24000000,D'occasion
Mercedes-Benz,2008,Manuelle,"Tivaouane peulh,Dakar",4500000,D'occasion
Ford,2014,Automatique,"Guediawaye,Dakar",4400000,Venant
Subaru,2013,Automatique,"Parcelles Assainies,Dakar",4500000,D'occasion
BMW,2019,Automatique,"Almadies,Dakar",29500000,Venant
Ford,2015,Automatique,"VDN,Dakar",12700000,Venant
Chrysler,2012,Automatique,"Yoff,Dakar",1999999,D'occasion
Hyundai,2017,Automatique,"Sicap foire,Dakar",10500000,Venant
Nissan,2016,Automatique,"Liberte 6 extension,Dakar",8800000,Venant
Ford,2015,Automatique," Ouest foire,Dakar",4000000,D'occasion
Nissan,2009,Automatique,"Almadies 2,Dakar",3200000,D'occasion
Ford,2016,Automatique,"Sacré-cœur,Dakar",16500000,Venant
Toyota,2014,Automatique,"Bel air,Dakar",9800000,Venant
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Toyota,2017,Automatique,"Sicap foire,Dakar",16300000,Venant
Dacia,2011,Manuelle,"Dieuppeul,Dakar",2100000,D'occasion
Hyundai,2012,Automatique,"Nord foire,Dakar",4000000,D'occasion
Range Rover,2015,Automatique,"Liberte 6,Dakar",17500000,Venant
Ford,2013,Automatique,"Plateau,Dakar",4500000,D'occasion
Peugeot,2017,Automatique,"Fenêtre mermoz,Dakar",16000000,D'occasion
Hyundai,2013,Automatique,"Colobane,Dakar",4500000,D'occasion
Ford,2013,Automatique,"Sacré-cœur,Dakar",6000000,D'occasion
Citroen,2010,Automatique,"Parcelles Assainies,Dakar",7000000,D'occasion
Kia,2005,Manuelle,"Sacré-cœur,Dakar",3000000,D'occasion
Mercedes-Benz,2019,Automatique,"Almadies,Dakar",33000000,Venant
Nissan,2010,Automatique,"VDN,Dakar",3700000,D'occasion
Hyundai,2016,Automatique,"Liberte 6,Dakar",6350000,Venant
Ford,2013,Automatique,"Almadies,Dakar",3800000,D'occasion
